"cluster","cluster.size","study","group"
40,328,"27886173_Battram-T_crohn_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640","autoimmune"
40,328,"27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640","autoimmune"
40,328,"27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640","autoimmune"
40,328,"27886173_inflammatory_bowel_disease","autoimmune"
40,328,"27955697_creactive_protein_discovery","cardiometabolic"
40,328,"27955697_creactive_protein_replication","cardiometabolic"
40,328,"28002404_body_mass_index_all_ancestry_discovery","ancestry"
40,328,"28002404_body_mass_index_all_ancestry_replication","ancestry"
40,328,"28002404_body_mass_index_discovery_and_replication","anthropometric"
40,328,"28002404_body_mass_index_european_ancestry_discovery","ancestry"
40,328,"28002404_body_mass_index_european_ancestry_replication","ancestry"
40,328,"28002404_body_mass_index_south_asian_ancestry_discovery","ancestry"
40,328,"28002404_body_mass_index_south_asian_ancestry_replication",NA
40,328,"28067321_atrial_fibrillation",NA
40,328,"28095459_body_mass_index_framingham_heart_study_batch_1",NA
40,328,"28095459_body_mass_index_framingham_heart_study_batch_2","anthropometric"
40,328,"28095459_body_mass_index_lothian_birth_cohort_1936","anthropometric"
40,328,"28095459_body_mass_index_metaanalysis","anthropometric"
40,328,"28139377_plasma_adiponectin_discovery","cardiometabolic"
40,328,"28139377_plasma_adiponectin_discovery_adjusted_for_bmi","cardiometabolic"
40,328,"28139377_plasma_adiponectin_discovery_adjusted_for_smoking_and_alcohol","smoking"
40,328,"28173150_serum_highdensity_lipoprotein_cholesterol_discovery","cardiometabolic"
40,328,"28173150_serum_highdensity_lipoprotein_cholesterol_discovery_adjusted_for_surrogate_variables","cardiometabolic"
40,328,"28173150_serum_highdensity_lipoprotein_cholesterol_discovery_and_replication","cardiometabolic"
40,328,"28173150_serum_highdensity_lipoprotein_cholesterol_discovery_and_replication_adjusted_for_surrogate_variables","cardiometabolic"
40,328,"28173150_serum_highdensity_lipoprotein_cholesterol_replication","cardiometabolic"
40,328,"28173150_serum_highdensity_lipoprotein_cholesterol_replication_adjusted_for_surrogate_variables","cardiometabolic"
40,328,"28173150_serum_total_cholesterol_discovery_and_replication",NA
40,328,"28173150_serum_total_cholesterol_discovery_and_replication_adjusted_for_surrogate_variables","cardiometabolic"
40,328,"28173150_serum_total_cholesterol_replication_adjusted_for_surrogate_variables",NA
40,328,"28173150_serum_triglycerides_discovery","cardiometabolic"
40,328,"28173150_serum_triglycerides_discovery_adjusted_for_surrogate_variables","cardiometabolic"
40,328,"28173150_serum_triglycerides_discovery_and_replication","cardiometabolic"
40,328,"28173150_serum_triglycerides_discovery_and_replication_adjusted_for_surrogate_variables","cardiometabolic"
40,328,"28173150_serum_triglycerides_replication","cardiometabolic"
40,328,"28173150_serum_triglycerides_replication_adjusted_for_surrogate_variables","cardiometabolic"
40,328,"28194238_highdensity_lipoprotein_cholesterol_discovery","cardiometabolic"
40,328,"28194238_highdensity_lipoprotein_cholesterol_discovery_and_replication","cardiometabolic"
40,328,"28194238_highdensity_lipoprotein_cholesterol_discovery_and_replication_lipidlowering_medication_use_adjusted","cardiometabolic"
40,328,"28194238_highdensity_lipoprotein_cholesterol_discovery_and_replication_other_lipids_adjusted",NA
40,328,"28194238_highdensity_lipoprotein_cholesterol_discovery_and_replication_waist_circumference_adjusted","cardiometabolic"
40,328,"28194238_highdensity_lipoprotein_cholesterol_replication","cardiometabolic"
40,328,"28194238_total_cholesterol_discovery_and_replication","cardiometabolic"
40,328,"28194238_triglycerides_discovery","cardiometabolic"
40,328,"28194238_triglycerides_discovery_and_replication","cardiometabolic"
40,328,"28194238_triglycerides_discovery_and_replication_lipidlowering_medication_use_adjusted","cardiometabolic"
40,328,"28194238_triglycerides_discovery_and_replication_other_lipids_adjusted","cardiometabolic"
40,328,"28194238_triglycerides_discovery_and_replication_waist_circumference_adjusted","cardiometabolic"
40,328,"28194238_triglycerides_replication","cardiometabolic"
40,328,"28213390_serum_highdensity_lipoprotein_cholesterol_discovery","cardiometabolic"
40,328,"28213390_serum_highdensity_lipoprotein_cholesterol_discovery_adjusted_for_bmi","cardiometabolic"
40,328,"28213390_serum_highdensity_lipoprotein_cholesterol_discovery_and_replication","cardiometabolic"
40,328,"28213390_serum_highdensity_lipoprotein_cholesterol_discovery_and_replication_adjusted_for_bmi","cardiometabolic"
40,328,"28213390_serum_highdensity_lipoprotein_cholesterol_replication","cardiometabolic"
40,328,"28213390_serum_total_cholesterol_replication",NA
40,328,"28213390_serum_total_cholesterol_replication_adjusted_for_bmi",NA
40,328,"28213390_serum_triglycerides_discovery","cardiometabolic"
40,328,"28213390_serum_triglycerides_discovery_adjusted_for_bmi","cardiometabolic"
40,328,"28213390_serum_triglycerides_discovery_and_replication","cardiometabolic"
40,328,"28213390_serum_triglycerides_discovery_and_replication_adjusted_for_bmi","cardiometabolic"
40,328,"28213390_serum_triglycerides_replication","cardiometabolic"
40,328,"28213390_serum_triglycerides_replication_adjusted_for_bmi","cardiometabolic"
40,328,"28624579_alanine_aminotransferase_discovery","other"
40,328,"28624579_alanine_aminotransferase_metaanalysis","other"
40,328,"28624579_gammaglutamyl_transferase_discovery","other"
40,328,"28624579_gammaglutamyl_transferase_metaanalysis","other"
40,328,"28624579_gammaglutamyl_transferase_replication","other"
40,328,"29055820_Wahl-A_igg_glycosylation_measure_-_igp48","other"
40,328,"29097680_Chu-A._chronic_kidney_disease_meta-analysis_of_incident_ckd_ewas",NA
40,328,"29099282_Sayols-Baixeras-S_body_mass_index_meta-analysis_model_1","anthropometric"
40,328,"29099282_Sayols-Baixeras-S_body_mass_index_meta-analysis_model_2","anthropometric"
40,328,"29099282_Sayols-Baixeras-S_waist_circumference_meta-analysis_model_1","anthropometric"
40,328,"29099282_Sayols-Baixeras-S_waist_circumference_meta-analysis_model_2","anthropometric"
40,328,"29198723_Richard-MA_diastolic_blood_pressure_meta-analysis","cardiometabolic"
40,328,"29198723_Richard-MA_systolic_blood_pressure_meta-analysis","cardiometabolic"
40,328,"29269866_Battram-T_intravenous_illicit_drug_use_and_hepatitis_c_infection_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse107080","other"
40,328,"29278407_Geurts-YM_bmi_discovery","anthropometric"
40,328,"29278407_Geurts-YM_bmi_replication",NA
40,328,"29311653_Marioni-R_cognitive_abilities__phonemic_verbal_fluency_basic_adjusted_model","neurological"
40,328,"29311653_Marioni-R_cognitive_abilities__phonemic_verbal_fluency_fully_adjusted_model","neurological"
40,328,"29617535_Aslibekyan-S_tumour_necrosis_factor-alpha_meta-analysis_base_model","other"
40,328,"29617535_Aslibekyan-S_tumour_necrosis_factor-alpha_meta-analysis_model_2","other"
40,328,"29617535_Aslibekyan-S_tumour_necrosis_factor-alpha_meta-analysis_model_3","other"
40,328,"29740313_Mendelson-MM_soluble_tumor_necrosis_factor_receptor_2","other"
40,328,"29762635_Dhana-K_body_mass_index_discovery","anthropometric"
40,328,"29762635_Dhana-K_body_mass_index_replication","anthropometric"
40,328,"29762635_Dhana-K_waist_circumference_discovery","anthropometric"
40,328,"29762635_Dhana-K_waist_circumference_replication","anthropometric"
40,328,"29790996_Battram-T_depression_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse113725",NA
40,328,"29921915_Battram-T_multiple_sclerosis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse106648","autoimmune"
40,328,"29998287_Jovanova-OS_depressive_symptoms_meta-analysis","neurological"
40,328,"30045751_Battram-T_alzheimer_s_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse66351","neurological"
40,328,"30718501_Roberts-S_psychotic_experiences_dnam_measured_at_age_7_and_pyschotic_experiences_at_age_18",NA
40,328,"30779925_Somineni-H_crohn_s_disease","autoimmune"
40,328,"30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease","autoimmune"
40,328,"30935889_Birmingham-M_fvc","other"
40,328,"30936141_Ma-J_hepatic_fat_meta-analysis_model_1","cardiometabolic"
40,328,"30936141_Ma-J_hepatic_fat_meta-analysis_model_2","cardiometabolic"
40,328,"30936141_Ma-J_hepatic_fat_meta-analysis_model_3","cardiometabolic"
40,328,"30938765_Wilson-LE_alcohol_consumption_replication","alcohol"
40,328,"31165884_Mandaviya-PR_folate_intake_categorical_model_and_meta_analysis","diet_environment"
40,328,"31165884_Mandaviya-PR_folate_intake_continuous_model_and_meta_analysis",NA
40,328,"31197173_Liu-J_fasting_glucose_base","cardiometabolic"
40,328,"31197173_Liu-J_fasting_glucose_base_plus_bmi","cardiometabolic"
40,328,"31197173_Liu-J_fasting_insulin_base","cardiometabolic"
40,328,"31197173_Liu-J_fasting_insulin_base_plus_bmi","cardiometabolic"
40,328,"31386212_Xu-K_alcohol_consumption_adjusted_for_bmi","alcohol"
40,328,"31386212_Xu-K_alcohol_consumption_not_adjusted_for_bmi","alcohol"
40,328,"31506343_Cardona-A_type_ii_diabetes_discovery","cardiometabolic"
40,328,"31506343_Cardona-A_type_ii_diabetes_replication_in_europeans","cardiometabolic"
40,328,"31506343_Cardona-A_type_ii_diabetes_replication_in_indians","cardiometabolic"
40,328,"31510868_Sun-D_body_mass_index_discovery_in_africans","anthropometric"
40,328,"31510868_Sun-D_body_mass_index_discovery_in_europeans","anthropometric"
40,328,"31510868_Sun-D_body_mass_index_follow_up_in_africans",NA
40,328,"31510868_Sun-D_body_mass_index_follow_up_in_europeans","anthropometric"
40,328,"31510868_Sun-D_body_mass_index_meta-analysis_in_africans","anthropometric"
40,328,"31510868_Sun-D_body_mass_index_meta-analysis_in_europeans","anthropometric"
40,328,"31510868_Sun-D_body_mass_index_replication_in_africans","anthropometric"
40,328,"31510868_Sun-D_body_mass_index_replication_in_europeans","anthropometric"
40,328,"31691802_Albao-D._type_ii_diabetes_mellitus_linear_regression","cardiometabolic"
40,328,"31789449_Dugue-P-A_alcohol_consumption_lifetime_consumption_discovery","alcohol"
40,328,"31789449_Dugue-P-A_alcohol_consumption_previous_decade_consumption_discovery","alcohol"
40,328,"31789449_Dugue-P-A_alcohol_consumption_previous_week_consumption_discovery","alcohol"
40,328,"31985870_Raffield-LM_coagulation_factor_viii","other"
40,328,"32033992_Ochoa-Rosales-C_statin_use_discovery","cardiometabolic"
40,328,"32033992_Ochoa-Rosales-C_statin_use_replication",NA
40,328,"32034291_Liang-X_alcohol_consumption_meta_analysis_with_phosphatidylethanol_used_as_measure_for_ac","alcohol"
40,328,"32144264_Vallerga-CL_parkinson_s_disease_meta_analysis_using_moa_model_from_osca","neurological"
40,328,"32144264_Vallerga-CL_parkinson_s_disease_meta_analysis_using_moment_model_from_osca",NA
40,328,"32520614_Huang-D_diastolic_blood_pressure_discovery",NA
40,328,"32520614_Huang-D_systolic_blood_pressure_discovery","cardiometabolic"
40,328,"32525743_Ma-J_healthy_eating_european_meta-analysis","diet_environment"
40,328,"32525743_Ma-J_healthy_eating_trans-ethnic_meta-analysis","diet_environment"
40,328,"32525743_Ma-J_mediterranean_diet_european_meta-analysis","diet_environment"
40,328,"33239708_Nuotio-ML_metabolic_sydnrome_discovery","other"
40,328,"33397400_Walker-R_apoe_e2_vs_e4_meta-analysis","neurological"
40,328,"33413638_Gomez-Alonso-MDC_faw6tofa_meta-analysis","other"
40,328,"33413638_Gomez-Alonso-MDC_hdl-d_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_idl_fc_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_idl_tg_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_ile_meta-analysis","other"
40,328,"33413638_Gomez-Alonso-MDC_l-ldl-fc_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_l-vldl-ce_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_l-vldl-c_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_l-vldl-fc_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_l-vldl-l_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_l-vldl-pl_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_l-vldl-p_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_l-vldl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_latofa_meta-analysis","other"
40,328,"33413638_Gomez-Alonso-MDC_m-hdl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-hdl-tg_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-ce_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-c_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-c_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-fc_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-l_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-pl_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-pl_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-p_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_m-vldl-tg_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_mufatofa_meta-analysis","anthropometric"
40,328,"33413638_Gomez-Alonso-MDC_mufa_meta-analysis","other"
40,328,"33413638_Gomez-Alonso-MDC_pufatofa_meta-analysis","anthropometric"
40,328,"33413638_Gomez-Alonso-MDC_s-hdl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-hdl-tg_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-ldl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-ldl-tg_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-vldl-ce_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-vldl-c_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-vldl-fc_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-vldl-l_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-vldl-pl_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-vldl-p_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-vldl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_s-vldl-tg_pct_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_serum-tg_meta-analysis","other"
40,328,"33413638_Gomez-Alonso-MDC_tgtopg_meta-analysis","other"
40,328,"33413638_Gomez-Alonso-MDC_totfa_meta-analysis",NA
40,328,"33413638_Gomez-Alonso-MDC_unsat_meta-analysis","other"
40,328,"33413638_Gomez-Alonso-MDC_vldl-c_meta-analysis",NA
40,328,"33413638_Gomez-Alonso-MDC_vldl-d_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_vldl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_xl-vldl-p_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_xl-vldl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_xs-vldl-c_pct_meta-analysis",NA
40,328,"33413638_Gomez-Alonso-MDC_xs-vldl-tg_meta-analysis","cardiometabolic"
40,328,"33413638_Gomez-Alonso-MDC_xs-vldl-tg_pct_meta-analysis","cardiometabolic"
40,328,"33499918_Long-P_serum_copper_discovery","diet_environment"
40,328,"33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis","cardiometabolic"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2413907__gene_symbol__dhcr24__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2900974__gene_symbol__hla-f__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2936564__gene_symbol__fgfr1op__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2936657__gene_symbol__ccr6__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2984655__gene_symbol__rps6ka2__meta-analysis","other"
40,328,"33752734_Yao-C_gene_expression_of_affymetrix_id__2984884__gene_symbol__rnaset2__meta-analysis","other"
